config_name,dataset,category,prompt_idx,wall_s,out_tokens,tok_per_s
qwen_eagle3,mt_bench,writing,3,4.6455,512,110.21
qwen_eagle3,mt_bench,writing,4,2.6607,512,192.43
qwen_eagle3,mt_bench,writing,5,2.6065,512,196.44
qwen_eagle3,mt_bench,writing,6,4.7788,512,107.14
qwen_eagle3,mt_bench,writing,7,2.3665,512,216.36
qwen_eagle3,mt_bench,writing,8,4.2676,512,119.98
qwen_eagle3,mt_bench,writing,9,3.8110,512,134.35
qwen_eagle3,mt_bench,roleplay,10,1.5076,512,339.61
qwen_eagle3,mt_bench,roleplay,11,3.6907,512,138.73
qwen_eagle3,mt_bench,roleplay,12,4.8198,512,106.23
qwen_eagle3,mt_bench,roleplay,13,4.5219,512,113.23
qwen_eagle3,mt_bench,roleplay,14,2.1335,512,239.99
qwen_eagle3,mt_bench,roleplay,15,4.5200,512,113.28
qwen_eagle3,mt_bench,roleplay,16,4.5119,512,113.48
qwen_eagle3,mt_bench,roleplay,17,4.5986,512,111.34
qwen_eagle3,mt_bench,roleplay,18,2.3549,512,217.42
qwen_eagle3,mt_bench,roleplay,19,1.7802,512,287.61
qwen_eagle3,mt_bench,reasoning,20,3.7772,512,135.55
qwen_eagle3,mt_bench,reasoning,21,1.7103,512,299.37
qwen_eagle3,mt_bench,reasoning,22,1.6324,512,313.64
qwen_eagle3,mt_bench,reasoning,23,4.0065,512,127.79
qwen_eagle3,mt_bench,reasoning,24,3.3385,512,153.36
qwen_eagle3,mt_bench,reasoning,25,3.3864,512,151.19
qwen_eagle3,mt_bench,reasoning,26,2.0724,512,247.06
qwen_eagle3,mt_bench,reasoning,27,2.6141,512,195.86
qwen_eagle3,mt_bench,reasoning,28,3.5202,512,145.44
qwen_eagle3,mt_bench,reasoning,29,3.9871,512,128.41
qwen_eagle3,mt_bench,math,30,3.6669,512,139.63
qwen_eagle3,mt_bench,math,31,2.4661,512,207.62
qwen_eagle3,mt_bench,math,32,3.5963,512,142.37
qwen_eagle3,mt_bench,math,33,3.4578,512,148.07
qwen_eagle3,mt_bench,math,34,3.4640,512,147.81
qwen_eagle3,mt_bench,math,35,3.6914,512,138.70
qwen_eagle3,mt_bench,math,36,3.8359,512,133.48
qwen_eagle3,mt_bench,math,37,3.6613,512,139.84
qwen_eagle3,mt_bench,math,38,2.6354,512,194.28
qwen_eagle3,mt_bench,math,39,3.4790,512,147.17
qwen_eagle3,mt_bench,coding,40,2.9217,512,175.24
qwen_eagle3,mt_bench,coding,41,2.1288,512,240.51
qwen_eagle3,mt_bench,coding,42,3.2960,512,155.34
qwen_eagle3,mt_bench,coding,43,4.1858,512,122.32
qwen_eagle3,mt_bench,coding,44,2.1039,512,243.35
qwen_eagle3,mt_bench,coding,45,2.5737,512,198.94
qwen_eagle3,mt_bench,coding,46,2.8552,512,179.32
qwen_eagle3,mt_bench,coding,47,3.3853,512,151.24
qwen_eagle3,mt_bench,coding,48,1.9589,512,261.38
qwen_eagle3,mt_bench,coding,49,3.7451,512,136.71
qwen_eagle3,mt_bench,extraction,50,1.5696,512,326.20
qwen_eagle3,mt_bench,extraction,51,2.9231,512,175.15
qwen_eagle3,mt_bench,extraction,52,4.6155,512,110.93
qwen_eagle3,mt_bench,extraction,53,3.2948,512,155.39
qwen_eagle3,mt_bench,extraction,54,4.6690,512,109.66
qwen_eagle3,mt_bench,extraction,55,2.0257,512,252.75
qwen_eagle3,mt_bench,extraction,56,3.1389,451,143.68
qwen_eagle3,mt_bench,extraction,57,3.6835,512,139.00
qwen_eagle3,mt_bench,extraction,58,4.0923,512,125.11
qwen_eagle3,mt_bench,extraction,59,2.8989,512,176.62
qwen_eagle3,mt_bench,stem,60,4.6093,512,111.08
qwen_eagle3,mt_bench,stem,61,3.9308,512,130.25
qwen_eagle3,mt_bench,stem,62,3.7939,512,134.96
qwen_eagle3,mt_bench,stem,63,2.2337,512,229.21
qwen_eagle3,mt_bench,stem,64,4.3148,512,118.66
qwen_eagle3,mt_bench,stem,65,4.0472,512,126.51
qwen_eagle3,mt_bench,stem,66,4.5204,512,113.26
qwen_eagle3,mt_bench,stem,67,3.3718,512,151.85
qwen_eagle3,mt_bench,stem,68,4.3456,512,117.82
qwen_eagle3,mt_bench,stem,69,1.9059,512,268.63
qwen_eagle3,mt_bench,humanities,70,3.9726,512,128.88
qwen_eagle3,mt_bench,humanities,71,4.3013,512,119.03
qwen_eagle3,mt_bench,humanities,72,5.1596,512,99.23
qwen_eagle3,mt_bench,humanities,73,4.1386,512,123.71
qwen_eagle3,mt_bench,humanities,74,4.7555,512,107.67
qwen_eagle3,mt_bench,humanities,75,4.0814,512,125.45
qwen_eagle3,mt_bench,humanities,76,4.1103,512,124.57
qwen_eagle3,mt_bench,humanities,77,4.7764,512,107.19
qwen_eagle3,mt_bench,humanities,78,4.5567,512,112.36
qwen_eagle3,mt_bench,humanities,79,4.4446,512,115.20
